Couple_Name,Club_Name,Federation_Name
Adrian Schell / Malin Kötschau,TSC Titanium Holstein Lübeck,TSH
Albi Ballata / Klara Ballata,TSA d. 1. SC Norderstedt,TSH
Alexander Suppes / Katharina Suppes,TSA d. Gettorfer TV 1889,TSH
André Bannourah / Viena Frese,Tanzsportclub Astoria Norderstedt,TSH
Andrea Cipriani / Flûte Seifart,TSA d. 1. SC Norderstedt,TSH
Andreas Reumann / Annette Reumann,Tanz-Turnier-Club Elmshorn,TSH
Axel Hagemeister / Sabine Hagemeister,TSA d. TSV Reinbek,TSH
Berge Schnoor / Celine Czerwinski,TC Rot-Gold-Casino Neumünster,TSH
Christopher Hagen / Marie Peters,TC Rot-Gold-Casino Neumünster,TSH
Damian Kulik / Julia Schwartz,TSC Titanium Holstein Lübeck,TSH
Daniel Muuss / Lena Bublitz,Tanzsportzentrum Lübeck,TSH
Daniel Schmidt / Janina Klingenberg,TSA d. 1. SC Norderstedt,TSH
Dario Metschies / Svea Krayenborg,TC Rot-Gold-Casino Neumünster,TSH
Dirk Hoffmann / Monika Hoffmann,TSA d. 1. SC Norderstedt,TSH
Dr. Bastian Ebeling / Claudia Schmidt,TSA im VfL Pinneberg,TSH
Falko Friedland / Viola Spohn,"Team Altenholz, TSA im TSV Altenholz",TSH
Florian Behncke / Stephanie Kraft,Tanzclub Concordia Lübeck,TSH
Frederik Meyn / Alida Lüdemann,Tanz-Turnier-Club Elmshorn,TSH
Friedrich Hoppe / Kirsten Göppert,TanzSportZentrum Schwarzenbek,TSH
Friedrich Rehren / Carolin Erhard,TSC Titanium Holstein Lübeck,TSH
Harald Wolff / Antje Wolff,TSA d. 1. SC Norderstedt,TSH
Holger Bernien / Silke Hoffmann,TSC Rot-Gold Schönkirchen,TSH
Illia Papazov / Anna-Lena Wolter,TSC Titanium Holstein Lübeck,TSH
Jan Beuster / Sabrina Wulff,TSC Titanium Holstein Lübeck,TSH
Jan Oskar Zytynski / Jana Maria Otte,1. Latin Team Kiel,TSH
Janne Wagner / Farina Wagner,TanzSportZentrum Schwarzenbek,TSH
Jannik Kühn / Agnetha Paysen,Tanzsportclub Astoria Norderstedt,TSH
Jerico Khadjeh-Nouri / Lena Schröer,Tanzsportclub Astoria Norderstedt,TSH
Jörn Bartsch / Carolin Da Silva Dias,TSC Titanium Holstein Lübeck,TSH
Josh Bürgel / Miriam Wölfle,TSC Titanium Holstein Lübeck,TSH
Joshua Khadjeh-Nouri / Jadzia Khadjeh-Nouri,Tanzsportclub Astoria Norderstedt,TSH
Julian Folster / Marion Brandt,TSC Titanium Holstein Lübeck,TSH
Kevin Eckert / Sarah-Madlen Schenke,Tanzsportclub Astoria Norderstedt,TSH
Kevin Khan / Anna Cheban,TSA d. 1. SC Norderstedt,TSH
Klaus-Michael Gluchowski / Dr. Kathrin Rosenkranz-Gluchowski,TSA d. 1. SC Norderstedt,TSH
Maik Rau / Carina Rau,Flensburger TC,TSH
Marcel Bannourah / Isabella Stuhr,Tanzsportclub Astoria Norderstedt,TSH
Michael Hubrecht / Valeria Scheiermann,TSA im VfL Pinneberg,TSH
Nick Dwinger / Merlina Walden,Tanzsportclub Astoria Norderstedt,TSH
Pascal Buchtmann / Martina Bruhns,TSA d. 1. SC Norderstedt,TSH
Paul Josef Wilke / Liv Jaane Memmert,Tanzen in Kiel,TSH
Peer Thore Stricker / Dana-Carolin Wilhelmsen,TC Rot-Gold-Casino Neumünster,TSH
Stefan Holz / Valentina Holz,TSA im VfL Pinneberg,TSH
Thomas Schuldt / Birgit Schuldt,TSA d. TSV Reinbek,TSH
Tobias Harren / Cara-Madleen Knust,TSA im VfL Pinneberg,TSH
